ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatTransferPerMassFlow( W / kg/s)
74;0.035;0.063;22234;635245
75;0.035;0.063;22374;639266
76;0.035;0.063;22560;644569
77;0.035;0.063;22797;651351
78;0.035;0.063;22865;653290
79;0.035;0.063;22921;654888
80;0.035;0.063;23023;657793
81;0.035;0.063;19245;549860
82;0.035;0.063;23271;664883
83;0.035;0.063;23308;665944
84;0.035;0.063;23255;664428
337;0.005;0.04;8455;1690965
338;0.005;0.04;8511;1702269
339;0.005;0.04;8553;1710621
340;0.005;0.04;8584;1716785
341;0.005;0.04;8609;1721783
342;0.005;0.04;8620;1724000
343;0.005;0.04;8626;1725120
344;0.005;0.04;8645;1728957
345;0.005;0.04;8662;1732304
346;0.005;0.04;8694;1738862
347;0.005;0.04;8720;1744084
348;0.005;0.04;8708;1741637
349;0.01;0.04;10197;1019741
350;0.01;0.04;10272;1027168
351;0.01;0.04;10323;1032329
352;0.01;0.04;10362;1036203
353;0.01;0.04;10393;1039329
354;0.01;0.04;10406;1040621
355;0.01;0.04;10411;1041130
356;0.01;0.04;10434;1043434
357;0.01;0.04;10453;1045264
358;0.01;0.04;10489;1048888
359;0.01;0.04;10515;1051484
360;0.01;0.04;10496;1049641
361;0.015;0.04;11629;775240
362;0.015;0.04;11713;780886
363;0.015;0.04;11760;783991
364;0.015;0.04;11802;786797
365;0.015;0.04;11846;789746
366;0.015;0.04;11859;790625
367;0.015;0.04;11858;790519
368;0.015;0.04;11888;792515
369;0.015;0.04;11905;793691
370;0.015;0.04;11940;795969
371;0.015;0.04;11962;797453
372;0.015;0.04;11940;795988
373;0.02;0.04;12743;637128
374;0.02;0.04;12830;641519
375;0.02;0.04;12866;643312
376;0.02;0.04;12911;645537
377;0.02;0.04;12963;648161
378;0.02;0.04;12976;648790
379;0.02;0.04;12960;648024
380;0.02;0.04;13002;650122
381;0.02;0.04;13018;650925
382;0.02;0.04;13049;652438
383;0.02;0.04;13067;653339
384;0.02;0.04;13045;652229
385;0.025;0.04;13583;543333
386;0.025;0.04;13668;546738
387;0.025;0.04;13705;548200
388;0.025;0.04;13750;549999
389;0.025;0.04;13793;551739
390;0.025;0.04;13805;552211
391;0.025;0.04;13783;551303
392;0.025;0.04;13830;553204
393;0.025;0.04;13845;553788
394;0.025;0.04;13871;554856
395;0.025;0.04;13887;555467
396;0.025;0.04;13866;554655
397;0.03;0.04;14219;473953
398;0.03;0.04;14298;476597
399;0.03;0.04;14336;477860
400;0.03;0.04;14353;478429
401;0.03;0.04;14415;480487
402;0.03;0.04;14425;480842
403;0.03;0.04;14432;481073
404;0.03;0.04;14448;481595
405;0.03;0.04;14461;482033
406;0.03;0.04;14485;482828
407;0.03;0.04;14498;483283
408;0.03;0.04;14481;482691
409;0.035;0.04;14707;420212
410;0.035;0.04;14782;422343
411;0.035;0.04;14778;422235
412;0.035;0.04;10924;312117
413;0.035;0.04;14891;425454
414;0.035;0.04;14901;425739
415;0.035;0.04;14858;424510
416;0.035;0.04;14922;426350
417;0.035;0.04;14935;426710
418;0.035;0.04;14957;427338
419;0.035;0.04;14970;427706
420;0.035;0.04;14954;427263
673;0.005;0.08;9637;1927345
674;0.005;0.08;10393;2078567
675;0.005;0.08;10481;2096190
676;0.005;0.08;10538;2107688
677;0.005;0.08;10597;2119417
678;0.005;0.08;10621;2124101
679;0.005;0.08;10642;2128410
680;0.005;0.08;10684;2136746
681;0.005;0.08;10721;2144127
682;0.005;0.08;10792;2158399
683;0.005;0.08;10839;2167853
684;0.005;0.08;10825;2164945
685;0.01;0.08;11757;1175691
686;0.01;0.08;13378;1337789
687;0.01;0.08;13518;1351829
688;0.01;0.08;13595;1359458
689;0.01;0.08;13693;1369264
690;0.01;0.08;13726;1372616
691;0.01;0.08;13756;1375614
692;0.01;0.08;13814;1381366
693;0.01;0.08;13862;1386231
694;0.01;0.08;13951;1395109
695;0.01;0.08;13993;1399326
696;0.01;0.08;13957;1395667
697;0.015;0.08;13685;912362
698;0.015;0.08;16154;1076928
699;0.015;0.08;16347;1089802
700;0.015;0.08;16434;1095580
701;0.015;0.08;16584;1105615
702;0.015;0.08;16630;1108653
703;0.015;0.08;16669;1111261
704;0.015;0.08;16746;1116408
705;0.015;0.08;16810;1120682
706;0.015;0.08;16919;1127964
707;0.015;0.08;16961;1130738
708;0.015;0.08;16907;1127132
709;0.02;0.08;15360;768014
710;0.02;0.08;18660;932983
711;0.02;0.08;18904;945208
712;0.02;0.08;19011;950530
713;0.02;0.08;19208;960412
714;0.02;0.08;19265;963266
715;0.02;0.08;19319;965927
716;0.02;0.08;19417;970854
717;0.02;0.08;19499;974926
718;0.02;0.08;19637;981843
719;0.02;0.08;19690;984476
720;0.02;0.08;19627;981352
721;0.025;0.08;16790;671601
722;0.025;0.08;20921;836851
723;0.025;0.08;21215;848613
724;0.025;0.08;11709;468364
725;0.025;0.08;21586;863444
726;0.025;0.08;21654;866173
727;0.025;0.08;21719;868760
728;0.025;0.08;21840;873593
729;0.025;0.08;21942;877670
730;0.025;0.08;22114;884541
731;0.025;0.08;22186;887427
732;0.025;0.08;22122;884897
733;0.03;0.08;17890;596319
734;0.03;0.08;22981;766027
735;0.03;0.08;23315;777178
736;0.03;0.08;12997;433219
737;0.03;0.08;23749;791629
738;0.03;0.08;23827;794225
739;0.03;0.08;23904;796801
740;0.03;0.08;24045;801506
741;0.03;0.08;24165;805516
742;0.03;0.08;24373;812447
743;0.03;0.08;24470;815656
744;0.03;0.08;24411;813705
745;0.035;0.08;18762;536060
746;0.035;0.08;24857;710205
747;0.035;0.08;25234;720967
748;0.035;0.08;12278;350804
749;0.035;0.08;25724;734969
750;0.035;0.08;25811;737470
751;0.035;0.08;25903;740077
752;0.035;0.08;26061;744601
753;0.035;0.08;26199;748540
754;0.035;0.08;26440;755438
755;0.035;0.08;26563;758941
756;0.035;0.08;26512;757496
